"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","Washer & Dryer Parts","","","","99697","Moved from [Washers & Dryers-42231] Renamed from [Parts & Accessories]",""
"","","","Other Major Appliances","","","","","20715","",""
"","-","Rugs & Carpets","","","","","","20571","",""
"","","","Area Rugs","","","","","45510","",""
"","","","Carpet Tiles","","","","","136820","",""
"","","","Door Mats & Floor Mats","","","","","20573","",""
"","","","Leather, Fur & Sheepskin Rugs","","","","","91421","",""
"","","","Runners","","","","","20574","",""
"","","","Stair Treads","","","","","175517","",""
"","","","Wall-to-Wall Carpeting","","","","","175820","",""
"","","","Rug & Carpet Accessories","","","","","36956","Renamed from [Rug Pads & Accessories]",""
"","","","Rug & Carpet Tools","","","","","260156","New Category",""
"","","","Other Rugs & Carpets","","","","","8409","",""
"","-","Tools & Workshop Equipment","","","","","","631","",""
"","","-","Air Tools & Air Compressors","","","","","85759","Renamed from [Air Tools]",""
"","","","","Air Blow Guns","","","","22660","Renamed from [Duster Guns & Other Cleaners]",""
"","","","","Air Compressors","","","","30506","",""
"","","","","Air Cut-Off Tools","","","","75675","Renamed from [Air Cutting Tools]",""
"","","","","Air Drills","","","","42245","Renamed from [Drills]",""
"","","","","Air Engraving Pens","","","","260159","New Category",""
"","","","","Air Grease & Sealant Guns","","","","22779","Renamed from [Grease & Sealant Guns]",""
"","","","","Air Grinders","","","","75676","Renamed from [Grinders]",""
"","","","","Air Hammers","","","","42246","Renamed from [Hammers]",""
"","","","","Air Impact Wrenches","","","","260161","New Category",""
"","","","","Air Nailers & Staplers","","","","22661","Renamed from [Nailers & Staple Guns]",""
"","","","","Paint Sprayers","","","","79702","All listings are being moved into [Sprayers & Spray Guns - 260160].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Air Ratchet Wrenches","","","","42248","Renamed from [Ratchets & Wrenches]",""
"","","","","Air Rivet Guns","","","","260162","New Category",""
"","","","","Air Sanders & Polishers","","","","42249","Renamed from [Sanders]",""
"","","","","Air Shears","","","","260163","New Category",""
"","","","","Sandblasters","","","","43570","",""
"","","","","Air Tool Kits","","","","159927","Renamed from [Air Tool Sets]",""
"","","","","Parts & Accessories","","","","42247","All listings are being moved into [Air Hoses - 260196].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Air Tools","","","","184653","",""
"","","-","Power Tools","","","","","3247","",""
"","","","","Batteries & Chargers","","","","122840","All listings are being moved into [Power Tool Batteries - 260204].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Buffers & Polishers","","","","42266","",""
"","","","","Corded Drills","","","","184654","",""
"","","","","Cordless Drills","","","","184655","",""
"","","","","Drill Presses","","","","71296","",""
"","","","","Glue Guns & Hot Glue Sticks","","","","46427","All listings are being moved into [Glue Guns - 260165].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Glue Guns","","","","260165","New Category",""
"","","","","Grinders","","","","42275","",""
"","","","","Grinder Wheels & Accessories","","","","79703","All listings are being moved into [Grinding Wheels & Cut-Off Wheels - 260182].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Heat Guns","","","","66797","",""
"","","","","Impact Drivers","","","","168134","",""
"","","","","Impact Wrenches","","","","168135","",""
"","","","","Lathes & Accessories","","","","42282","All listings are being moved into [Lathes - 260166].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Lathes","","","","260166","New Category",""
"","","","","Nail & Staple Guns","","","","122828","",""
"","","","","Oscillating Tools","","","","260167","New Category",""
"","","","","Planers","","","","177002","",""
"","","","","Rotary Tools","","","","177003","",""
"","","","","Routers & Joiners","","","","122829","",""
"","","","","Sanders","","","","42284","",""
"","","","","Sander Parts & Accessories","","","","20796","All listings are being moved into [Sanding Discs - 260187].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","-","Saws & Accessories","","","","122831","This Category is being retired.",""
"","","","","","Miter & Chop Saws","","","20787","All listings are being moved into [Miter Saws - 260172].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Saw Blades","","","122837","All listings are being moved into [Other Saw Blades - 122838].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Powder-Actuated Tools","","","","260168","New Category",""
"","","","-","Power Saws","","","","260169","New Category",""
"","","","","","Band Saws","","","177016","Moved from [Saws & Accessories-122831]",""
"","","","","","Circular Saws","","","71307","Moved from [Saws & Accessories-122831]",""
"","","","","","Chop Saws","","","260170","New Category",""
"","","","","","Concrete Saws","","","260171","New Category",""
"","","","","","Jig Saws","","","122834","Moved from [Saws & Accessories-122831] Renamed from [Jig & Scroll Saws]",""
"","","","","","Miter Saws","","","260172","New Category",""
"","","","","","Reciprocating Saws","","","20788","Moved from [Saws & Accessories-122831]",""
"","","","","","Scroll Saws","","","260173","New Category",""
"","","","","","Table Saws","","","122835","Moved from [Saws & Accessories-122831]",""
"","","","","","Tile Saws","","","122836","Moved from [Saws & Accessories-122831]",""
"","","","","Screw Guns & Screwdrivers","","","","122839","Renamed from [Screwdrivers]",""
"","","","","Shears & Nibblers","","","","260175","New Category",""
"","","","","Welding & Soldering Tools","","","","46413","",""
"","","","","Winches","","","","66798","",""
"","","","","Power Tool Sets","","","","177000","",""
"","","","","Other Power Tools","","","","632","",""
"","","-","Power Tool & Air Tool Accessories","","","","","260176","New Category",""
"","","","-","Abrasives","","","","260177","New Category",""
"","","","","","Backing Pads","","","260178","New Category",""
"","","","","","Detail Sanding Sheets","","","260179","New Category",""
"","","","","","Flap Discs","","","260181","New Category",""
"","","","","","Grinding Wheels & Cut-Off Wheels","","","260182","New Category",""
"","","","","","Polishing & Buffing Pads","","","260183","New Category",""
"","","","","","Polishing & Buffing Wheels","","","260184","New Category",""
"","","","","","Polishing & Buffing Kits","","","260185","New Category",""
"","","","","","Sanding Belts","","","260186","New Category",""
"","","","","","Sanding Discs","","","260187","New Category",""
"","","","","","Sanding Kits","","","260188","New Category",""
"","","","","","Sanding Screens","","","260189","New Category",""
"","","","","","Sandpaper Sheets","","","260190","New Category",""
"","","","","","Spindle Sanding Sleeves","","","260191","New Category",""
"","","","","","Wire Cup Brushes","","","260192","New Category",""
"","","","","","Wire Wheel Brushes","","","260193","New Category",""
"","","","","","Wood Carving Discs","","","260194","New Category",""
"","","","-","Air Compressor Accessories","","","","260195","New Category",""
"","","","","","Air Compressor Accessory Kits","","","260243","New Category",""
"","","","","","Air Hoses","","","260196","New Category",""
"","","","","","Air Hose Reels","","","260242","New Category",""
"","","","","","Air Pressure Regulators","","","260197","New Category",""
"","","","","","Air Tool Fittings","","","260198","New Category",""
"","","","","Drill Attachments","","","","260199","New Category",""
"","","","","Drill Bits","","","","50382","Moved from [Power Tools-3247]",""
"","","","","Drill Press Accessories","","","","260200","New Category",""
"","","","","Jigs & Templates","","","","179686","Moved from [Power Tools-3247]",""
"","","","","Lathe Accessories","","","","260201","New Category",""
"","","","","Oscillating Tool Accessories","","","","260202","New Category",""
"","","","","Planer Blades","","","","260203","New Category",""
"","","","","Power Tool Batteries","","","","260204","New Category",""
"","","","","Power Tool Battery Chargers","","","","260205","New Category",""
"","","","","Power Tool Lubricants","","","","260206","New Category",""
"","","","","Rotary Tool Accessories","","","","260207","New Category",""
"","","","","Router Templates & Guides","","","","260208","New Category",""
"","","","","Router Bits","","","","177001","Moved from [Power Tools-3247]",""
"","","","","Router Tables","","","","75680","Moved from [Power Tools-3247]",""
"","","","","Saw Accessories","","","","260209","New Category",""
"","","","-","Saw Blades","","","","260210","New Category",""
"","","","","","Band Saw Blades","","","260211","New Category",""
"","","","","","Circular Saw Blades","","","260212","New Category",""
"","","","","","Diamond Blades","","","260213","New Category",""
"","","","","","Jigsaw Blades","","","260214","New Category",""
"","","","","","Reciprocating Saw Blades","","","260215","New Category",""
"","","","","","Scroll Saw Blades","","","260216","New Category",""
"","","","","","Table Saw Blades & Miter Saw Blades","","","260217","New Category",""
"","","","","","Other Saw Blades","","","122838","Moved from [Saws & Accessories-122831] Renamed from [Other Saws & Accessories]",""
"","","","","Sharpening Tools","","","","42290","Moved from [Power Tools-3247] Renamed from [Sharpeners]",""
"","","","","Other Power & Air Tool Accessories","","","","260219","New Category",""
"","","","Power Tool & Air Tool Replacement Parts","","","","","260220","New Category",""
"","","-","Hand Tools","","","","","3244","",""
"","","","","Awls","","","","260221","New Category",""
"","","","","Caulking & Sealant Guns","","","","168798","",""
"","","","","Chisels","","","","178972","",""
"","","","","Clamps & Vises","","","","20761","",""
"","","","","Concrete & Masonry Tools","","","","260222","New Category",""
"","","","","Cutting Tools","","","","178973","",""
"","","","","Files","","","","178974","",""
"","","","","Hammers & Mallets","","","","20763","",""
"","","","","Knives & Blades","","","","39057","",""
"","","","","Multi-Tools","","","","46459","",""
"","","","","Planes","","","","122855","",""
"","","","","Pliers","","","","82251","",""
"","","","","Pry & Wrecking Bars","","","","178999","",""
"","","","","Punches","","","","50380","",""
"","","","","Putty Knives & Scrapers","","","","178970","",""
"","","","","Rivet Tools","","","","260223","New Category",""
"","","","","Saws","","","","122853","",""
"","","","","Screwdrivers & Nutdrivers","","","","42255","",""
"","","","","Shears & Snips","","","","260158","New Category",""
"","","","","Staplers","","","","260224","New Category",""
"","","","","Taps & Dies","","","","46458","",""
"","","","","Trowels","","","","168791","",""
"","","","","Winches","","","","66796","",""
"","","","","Wire Brushes","","","","178971","",""
"","","","-","Wrenches","","","","20770","",""
"","","","","","Adjustable Wrenches","","","20771","",""
"","","","","","Box Wrenches","","","260225","New Category",""
"","","","","","Combination Wrenches","","","260226","New Category",""
"","","","","","Crowfoot Wrenches","","","260227","New Category",""
"","","","","","Flare Nut Wrenches","","","260228","New Category",""
"","","","","","Hex Keys & Hex Wrenches","","","42258","Renamed from [Hex Keys & Wrenches]",""
"","","","","","Open End Wrenches","","","260229","New Category",""
"","","","","","Pipe Wrenches","","","20772","",""
"","","","","","Ratchet Wrenches","","","84236","",""
"","","","","","Socket Wrenches","","","84237","",""
"","","","","","Strap Wrenches","","","260230","New Category",""
"","","","","","Torque Wrenches","","","42265","",""
"","","","","","Wrench Sets","","","29527","",""
"","","","","","Other Wrenches","","","19785","",""
"","","","","Hand Tool Sets","","","","23782","",""
"","","","","Parts & Accessories","","","","59031","All listings are being moved into [Hand Tool Accessories - 260231].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Hand Tools","","","","303","",""
"","","","Hand Tool Accessories","","","","","260231","New Category",""
"","","","Hand Tool Replacement Parts","","","","","260232","New Category",""
"","","","Manuals & Guides","","","","","171208","",""
"","","+","Measuring & Layout Tools","","","","","29523","",""
"","","-","Safety & Protective Gear","","","","","43614","",""
"","","","","Bump Caps","","","","260233","New Category",""
"","","","","Face Shields","","","","260234","New Category",""
"","","","","Fire Extinguishers","","","","98854","",""
"","","","","Glasses, Goggles & Shields","","","","43615","All listings are being moved into [Safety Glasses & Goggles - 260237].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Gloves & Pads","","","","43616","",""
"","","","","Masks, Respirators & Helmets","","","","43617","All listings are being moved into [Respirators & Face Masks - 260236].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Hard Hats","","","","260235","New Category",""
"","","","","Respirators & Face Masks","","","","260236","New Category",""
"","","","","Safety Glasses & Goggles","","","","260237","New Category",""
"","","","","Other Safety & Protective Gear","","","","20798","",""
"","","-","Tool Boxes & Storage","","","","","130140","",""
"","","","","Tool Bags, Belts & Pouches","","","","42362","",""
"","","","","Shelving & Racking Systems","","","","30543","",""
"","","","","Tool Boxes","","","","33089","",""
"","","","","Tool Cabinets","","","","185030","Renamed from [Tool Cabinets & Cupboards]",""
"","","","","Organizers","","","","130142","",""
"","","","","Wall Tool Racks","","","","130145","",""
"","","","","Other Tool Storage","","","","42633","",""
"","","-","Workshop Equipment","","","","","42622","",""
"","","","","Flashlights & Work Lights","","","","126393","",""
"","","","","Furniture Dollies & Castors","","","","130147","",""
"","","","","Jacks, Stands & Sawhorses","","","","43593","",""
"","","","","Ladders","","","","112567","",""
"","","","","Sanding Paper","","","","130149","",""
"","","","","Scaffolding","","","","260239","New Category",""
"","","","","Tie Downs & Straps","","","","85917","",""
"","","","","Tool & Equipment Trolleys","","","","46496","",""
"","","","","Wet & Dry Vacuum Cleaners","","","","184337","",""
"","","","","Work Benches","","","","33088","",""
"","","","","Parts & Accessories","","","","130146","All listings are being moved into [Workshop Equipment Accessories - 260241].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Workshop Equipment","","","","42623","All listings are being moved into [Workshop Equipment Accessories - 260241].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Workshop Equipment Accessories","","","","260241","New Category",""
"","","","","Workshop Equipment Replacement Parts","","","","260240","New Category",""
"","","","Other Tools & Workshop Equipment","","","","","11704","",""
"","+","Wedding Supplies","","","","","","11827","",""
"","-","Window Treatments & Hardware","","","","","","63514","",""
"","","","Blinds & Shades","","","","","20585","",""
"","","","Cornices & Valances","","","","","260060","New Category",""
"","","","Curtains & Drapes","","","","","45515","Renamed from [Curtains, Drapes & Valances]",""
"","","","Shutters","","","","","66799","",""
"","","","Stained Glass Panels","","","","","260061","New Category",""
"","","","Window Film","","","","","175757","",""
"","","","Curtain Rods & Hardware","","","","","103459","Renamed from [Curtain Rods & Finials]",""
"","","","Replacement Parts","","","","","103458","Renamed from [Window Treatment Hardware]",""
"","","","Other Window Treatments","","","","","63515","",""
"","-","Yard, Garden & Outdoor Living","","","","","","159912","",""
"","","+","Bird & Wildlife Accessories","","","","","75578","",""
"","","+","Composting & Yard Waste","","","","","181020","",""
"","","+","Garden Clothing & Gear","","","","","159473","",""
"","","+","Garden Décor","","","","","20498","",""
"","","+","Garden Fencing","","","","","177032","",""
"","","+","Garden Structures & Shade","","","","","177017","",""
"","","+","Garden Tools & Equipment","","","","","181033","",""
"","","+","Hydroponics & Seed Starting","","","","","43554","",""
"","","+","Landscaping & Garden Materials","","","","","181027","",""
"","","+","Lawn Mowers","","","","","43560","",""
"","","+","Plant Care, Soil & Accessories","","","","","179308","",""
"","","+","Outdoor Cooking & Eating","","","","","149242","",""
"","","+","Outdoor Lighting","","","","","42154","",""
"","","-","Outdoor Power Equipment","","","","","29518","",""
"","","","","Chainsaws","","","","42226","",""
"","","","","Chainsaw Parts & Accs","","","","85915","",""
"","","","","Chippers, Shredders & Mulchers","","","","42228","",""
"","","","","Edgers","","","","71266","",""
"","","","","Multi Purpose Engines","","","","79670","",""
"","","","","Generators","","","","33082","Moved from [Power Tools-3247]",""
"","","","","Grass Shears","","","","161001","",""
"","","","","Hedge Trimmers","","","","71268","",""
"","","","","Hole Diggers & Augers","","","","169164","",""
"","","","","Leaf Blowers & Vacuums","","","","71273","",""
"","","","","Leaf Blower & Vacuum Parts","","","","159930","",""
"","","","","Log Splitters","","","","39019","",""
"","","","","Pressure Washers","","","","50388","",""
"","","","","Snow Blowers","","","","42230","",""
"","","","","Snow Blower Parts & Accs","","","","259654","",""
"","","","","String Trimmers","","","","71277","",""
"","","","","String Trimmer Parts & Accs","","","","71278","",""
"","","","","Tillers","","","","29519","",""
"","","","","Other Outdoor Power Equipment","","","","29520","",""
"","","+","Patio & Garden Furniture","","","","","25863","",""
"","","+","Plants, Seeds & Bulbs","","","","","181003","",""
"","","+","Ponds & Water Features","","","","","93632","",""
"","","-","Pools & Spas","","","","","20727","",""
"","","","+","Pool Chemicals & Testing","","","","181057","",""
"","","","+","Pool Cleaning Tools","","","","181061","",""
"","","","+","Pool Equipment & Parts","","","","181067","",""
"","","","-","Pool Fun","","","","159921","This Category is being retired.",""
"","","","","","Floats & Rafts","","","181055","All listings are being moved into [Floats, Rafts - 145988].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Toys & Games","","","181056","All listings are being moved into [Water Toys - 145993].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Other Pool Fun","","","159922","All listings are being moved into [Other Sand & Water Toys - 11745].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","+","Swimming Pools","","","","181053","",""
"","","","","Saunas","","","","181054","",""
"","","","","Sauna Heaters","","","","27538","",""
"","","","","Sauna Parts & Accessories","","","","126415","",""
"","","","","Spas & Hot Tubs","","","","84211","",""
"","","","","Spa & Hot Tub Covers","","","","181074","",""
"","","","","Spa & Hot Tub Parts","","","","181075","",""
"","","","","Other Pools & Spas","","","","3243","",""
"","","+","Weed & Pest Control","","","","","181034","",""
"","","+","Watering Equipment","","","","","29521","",""
"","","","Other Yard, Garden & Outdoor","","","","","159913","",""
"","+","Wholesale Lots","","","","","","31605","",""
"","","Other Home & Garden","","","","","","181076","",""
"-","Jewelry & Watches","","","","","","","281","",""
"","+","Children's Jewelry","","","","","","84605","",""
"","+","Engagement & Wedding","","","","","","91427","",""
"","+","Ethnic, Regional & Tribal","","","","","","11312","",""
"","+","Fashion Jewelry","","","","","","10968","",""
"","+","Fine Jewelry","","","","","","4196","",""
"","+","Handcrafted, Artisan Jewelry","","","","","","110633","",""
"","+","Jewelry Boxes & Organizers","","","","","","10321","",""
"","+","Jewelry Design & Repair","","","","","","164352","",""
"","+","Loose Beads","","","","","","179264","",""
"","+","Loose Diamonds & Gemstones","","","","","","491","",""
"","+","Men's Jewelry","","","","","","10290","",""
"","-","Vintage & Antique Jewelry","","","","","","48579","",""
"","","-","Costume","","","","","500","",""
"","","","","Georgian, Pre-1837","","","","58558","",""
"","","","+","Victorian, Edwardian 1837-1910","","","","58561","",""
"","","","+","Art Nouveau/Art Deco 1895-1935","","","","58560","",""
"","","","+","Retro, Vintage 1930s-1980s","","","","58559","",""
"","","","+","Bakelite, Vintage Plastics","","","","165878","",""
"","","","+","Designer, Signed","","","","165890","",""
"","","","","Men's Vintage Costume Jewelry","","","","165921","",""
"","","","-","Undated Costume Jewelry","","","","165922","Renamed from [Unknown Period]",""
"","","","","","Bracelets","","","165923","",""
"","","","","","Dress & Scarf Clips","","","168184","",""
"","","","","","Earrings","","","165924","",""
"","","","","","Necklaces & Pendants","","","165925","",""
"","","","","","Pins, Brooches","","","165926","",""
"","","","","","Rings","","","165927","",""
"","","","","","Sets","","","165928","",""
"","","","","","Other Undated Costume Jewelry","","","101497","",""
"","","","","Other Vintage Costume Jewelry","","","","289","",""
"","","-","Fine","","","","","12595","",""
"","","","","Charms & Charm Bracelets","","","","52562","",""
"","","","","Georgian, Pre-1837","","","","58551","",""
"","","","+","Victorian, Edwardian 1837-1910","","","","58552","",""
"","","","+","Art Nouveau/Art Deco 1895-1935","","","","58555","",""
"","","","+","Retro, Vintage 1930s-1980s","","","","58557","",""
"","","","+","Designer, Signed","","","","165070","",""
"","","","","Men's Vintage Fine Jewelry","","","","52576","",""
"","","","-","Undated Fine Jewelry","","","","101495","Renamed from [Unknown Period]",""
"","","","","","Bracelets","","","165102","",""
"","","","","","Cameos","","","52561","",""
"","","","","","Earrings","","","165104","",""
"","","","","","Necklaces & Pendants","","","165105","",""
"","","","","","Pins, Brooches","","","165106","",""
"","","","","","Rings","","","165107","",""
"","","","","","Sets","","","168173","",""
"","","","","","Other Fine Undated Jewelry","","","45399","",""
"","","","","Other Fine Vintage Jewelry","","","","91440","",""
"","","+","Vintage Ethnic/Regional/Tribal","","","","","165133","",""
"","","","Vintage Handcrafted, Artisan","","","","","166736","",""
"","","+","New, Vintage Reproductions","","","","","48581","",""
"","","","Jewelry for Parts or Repair","","","","","168176","",""
"","","","Price Guides & Publications","","","","","171122","",""
"","","","Other Vintage Jewelry","","","","","166734","",""
"","+","Watches, Parts & Accessories","","","","","","14324","",""
"","","Other Jewelry & Watches","","","","","","98863","",""
"","+","Wholesale Lots","","","","","","40131","",""
"+","Music","","","","","","","11233","",""
"+","Musical Instruments & Gear","","","","","","","619","",""
"+","Pet Supplies","","","","","","","1281","",""
"-","Pottery & Glass","","","","","","","870","",""
"","-","Glass","","","","","","50693","",""
"","","+","Art Glass","","","","","955","",""
"","","-","Glassware","","","","","13","",""
"","","","-","40s, 50s, 60s","","","","4207","",""
"","","","","+","Anchor Hocking","","","25474","",""
"","","","","","Federal","","","4209","",""
"","","","","","Hazel-Atlas","","","4210","",""
"","","","","","Indiana","","","4211","",""
"","","","","","Jeannette","","","4212","",""
"","","","","","L.E. Smith","","","4215","",""
"","","","","","Libbey","","","4213","",""
"","","","","","U.S. Glass","","","4216","",""
"","","","","","Unspecified, Unknown Maker","","","29553","Renamed from [Unknown Maker]",""
"","","","","","Other 40s, 50s, 60s Glassware","","","1010","",""
"","","","","Amethyst","","","","4758","",""
"","","","-","Carnival Glass","","","","2668","",""
"","","","","-","Contemporary (1940-Now)","","","33966","",""
"","","","","","","Fenton","","2674","",""
"","","","","","","Imperial","","2676","",""
"","","","","","","Indiana","","33967","",""
"","","","","","","Unspecified, Unknown Maker","","33968","Renamed from [Unknown Maker]",""
"","","","","","","Other Contemp. Carnival Glass","","4759","",""
"","","","","-","Vintage (Pre-1940)","","","29566","",""
"","","","","","","Dugan","","29567","",""
"","","","","","","Fenton","","29568","",""
"","","","","","","Imperial","","29569","",""
"","","","","","","Millersburg","","160889","",""
"","","","","","","Northwood","","29570","",""
"","","","","","","Unspecified, Unknown Maker","","33969","Renamed from [Unknown Maker]",""
"","","","","","","Other Vintage Carnival Glass","","4760","",""
"","","","+","Childrens Glass","","","","4931","",""
"","","","","Cobalt","","","","4934","",""
"","","","-","Contemporary Glass","","","","996","",""
"","","","","","Boyd","","","998","",""
"","","","","","Crystal","","","999","",""
"","","","","","Degenhart","","","1000","",""
"","","","","","Indiana","","","2690","",""
"","","","","","J.G. Durand, Cristal d'Arques","","","29571","",""
"","","","","","L.E. Smith","","","2692","",""
"","","","","","L.G. Wright","","","2695","",""
"","","","","","Lenox","","","29721","",""
"","","","","","Mikasa","","","29722","",""
"","","","","","Mosser","","","1001","",""
"","","","","","Princess House","","","2691","",""
"","","","","","Tiara","","","2694","",""
"","","","","","Unspecified, Unknown Maker","","","29572","Renamed from [Unknown Maker]",""
"","","","","","Other Contemporary Glass","","","997","",""
"","","","","Crackle Glass","","","","2712","",""
"","","","+","Cut Glass","","","","2714","",""
"","","","-","Depression","","","","1002","",""
"","","","","","Akro Agate","","","2696","",""
"","","","","+","Anchor Hocking","","","34101","",""
"","","","","+","Federal","","","34112","",""
"","","","","+","Hazel-Atlas","","","34116","",""
"","","","","","Indiana","","","1006","",""
"","","","","+","Jeannette","","","34120","",""
"","","","","","L.E. Smith","","","2698","",""
"","","","","+","Macbeth-Evans","","","34126","",""
"","","","","","McKee","","","2697","",""
"","","","","","U.S. Glass","","","1009","",""
"","","","","","Unspecified, Unknown Maker","","","29573","Renamed from [Unknown Maker]",""
"","","","","","Mixed Items","","","34129","",""
"","","","","","Other Depression Glassware","","","78048","",""
"","","","+","EAPG Pattern Glass 1850-1910","","","","2705","",""
"","","","-","Elegant","","","","1020","",""
"","","","","+","Cambridge","","","34130","",""
"","","","","","Duncan & Miller","","","1022","",""
"","","","","+","Fostoria","","","34133","",""
"","","","","","Heisey","","","1024","",""
"","","","","+","Imperial","","","34139","",""
"","","","","","Libbey","","","4763","",""
"","","","","","Morgantown","","","1026","",""
"","","","","","New Martinsville/Viking","","","1027","",""
"","","","","","Paden City","","","1028","",""
"","","","","","Tiffin","","","1029","",""
"","","","","+","Westmoreland","","","34143","",""
"","","","","","Unspecified, Unknown Maker","","","25479","Renamed from [Unknown Maker]",""
"","","","","","Mixed Items","","","34147","",""
"","","","","","Other Elegant Glassware","","","23","",""
"","","","+","Kitchen Glassware","","","","1011","",""
"","","","","Opalescent","","","","1229","",""
"","","","+","Opaque","","","","2735","",""
"","","","","Pressed Glass","","","","4764","",""
"","","","","Pyrex","","","","4765","",""
"","","","","Ruby","","","","4766","",""
"","","","","Stretch Glass","","","","2745","",""
"","","","+","Vaseline","","","","4935","",""
"","","","","Waterford","","","","7291","",""
"","","","","Unspecified, Unknown Type","","","","168293","Renamed from [Unknown Type]",""
"","","","","Price Guides & Publications","","","","170128","",""
"","","","","Other Glassware","","","","14","",""
"","","","Wholesale Lots","","","","","60101","",""
"","-","Pottery & China","","","","","","18875","",""
"","","-","Art Pottery","","","","","27","",""
"","","","","Studio/ Handcrafted Pottery","","","","27357","",""
"","","","","Abingdon","","","","18892","",""
"","","","","American Bisque","","","","160896","",""
"","","","","Aynsley","","","","50696","",""
"","","","","Bennington","","","","2752","",""
"","","","","Blue Mountain","","","","21197","",""
"","","","","Bordallo Pinheiro","","","","160897","",""
"","","","","Brush/Brush-McCoy","","","","18895","",""
"","","","","Buffalo","","","","45529","",""
"","","","","Bybee","","","","173505","",""
"","","","","California Pottery","","","","160898","",""
"","","","","Camark","","","","7292","",""
"","","","","Catalina","","","","18897","",""
"","","","","Colorado Pottery","","","","783","",""
"","","","","Coors Pottery","","","","2757","",""
"","","","","Dakota Pottery","","","","784","",""
"","","","","Dedham","","","","160906","",""
"","","","","Delft","","","","2761","",""
"","","","","Folk","","","","2766","",""
"","","","","Franciscan/ Gladding-McBean","","","","162112","",""
"","","","","Frankoma, Gracetone","","","","449","",""
"","","","","Fulper","","","","2767","",""
"","","","","Gouda","","","","2769","",""
"","","","","Grueby","","","","2771","",""
"","","","","Hadley","","","","45533","",""
"","","","","Haeger","","","","589","",""
"","","","","Hampshire","","","","160899","",""
"","","","","Henn","","","","160900","",""
"","","","","Hull","","","","452","",""
"","","","","Made in Japan","","","","2780","",""
"","","","","Majolica","","","","453","",""
"","","","","Maling","","","","2781","",""
"","","","","Marblehead","","","","160901","",""
"","","","","McCoy","","","","89","",""
"","","","","Moorcroft","","","","1234","",""
"","","","","Muncie","","","","2783","",""
"","","","","Nemadji","","","","160902","",""
"","","","","Newcomb","","","","1235","",""
"","","","","Niloak","","","","2785","",""
"","","","","Nippon","","","","160903","",""
"","","","","North Carolina Pottery","","","","88463","",""
"","","","","Owens","","","","1236","",""
"","","","","Poole","","","","18904","",""
"","","","","Quimper","","","","18906","",""
"","","","","Robinson Ransbottom","","","","18907","",""
"","","","","Rookwood","","","","90","",""
"","","","","Roseville","","","","96","",""
"","","","","Rowe","","","","160904","",""
"","","","","SEG/Paul Revere","","","","2787","",""
"","","","","Shawnee","","","","160905","",""
"","","","","Staffordshire","","","","458","",""
"","","","","Stangl","","","","459","",""
"","","","","Teco","","","","2791","",""
"","","","","Uhl","","","","1239","",""
"","","","","Van Briggle","","","","590","",""
"","","","","Vernon Kilns","","","","162113","",""
"","","","","Weller","","","","461","",""
"","","","","Central/South American Pottery","","","","162114","",""
"","","","+","European Pottery","","","","162115","",""
