"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","","Starter Mounts & Enclosures","","","181704","",""
"","","","","","Starter Parts & Accessories","","","181705","",""
"","","","","","Vacuum Starters","","","260266","New Category",""
"","","","","","Other Starters","","","181706","",""
"","","-","Electric Motors","","","","","181730","",""
"","","","","Blower Motors","","","","260267","New Category",""
"","","","","Definite Purpose Motors","","","","181731","",""
"","","","","General Purpose Motors","","","","181732","",""
"","","","","Gearmotors","","","","65452","",""
"","","","","Permanent Magnet Motors","","","","260268","New Category",""
"","","","","Pump Motors","","","","260269","New Category",""
"","","","","Starter Motors","","","","260270","New Category",""
"","","","","Stepper Motors","","","","9723","",""
"","","","","Servo Motors","","","","124603","",""
"","","","","Vibration Motors","","","","181733","",""
"","","","","Wound Field Motors","","","","260271","New Category",""
"","","","","Electric Motor Parts & Accessories","","","","181734","",""
"","","","Industrial Robotic Arms","","","","","50924","",""
"","","","Industrial Robot Parts","","","","","260272","New Category",""
"","","-","Mechanical Power Transmission","","","","","181748","",""
"","","","-","Bearings & Bushings","","","","181749","",""
"","","","","","Air Bearings","","","260273","New Category",""
"","","","","","Ball & Roller Bearings","","","181750","",""
"","","","","","Bushings & Plain Bearings","","","181751","",""
"","","","","","Cam Followers","","","181752","",""
"","","","","","Mounted Bearings & Housings","","","181753","",""
"","","","","","Rod End Bearings","","","260274","New Category",""
"","","","","","Thrust Bearings","","","181754","",""
"","","","","-","Bearing & Bushing Parts","","","260275","New Category",""
"","","","","","","Precision Balls","","260276","New Category",""
"","","","","","","Thrust Washers","","260277","New Category",""
"","","","","","","Bearing End Caps","","260278","New Category",""
"","","","","","","Bearing Heaters","","260279","New Category",""
"","","","","","","Other Bearing & Bushing Parts","","185120","Moved from [Bearings & Bushings-181749] Renamed from [Other Bearings & Bushings]",""
"","","","-","Brakes & Clutches","","","","260280","New Category",""
"","","","","","Hydraulic & Pneumatic Brakes","","","181760","Moved from [Mechanical Power Transmission-181748]",""
"","","","","","Hydraulic & Pneumatic Clutches","","","181767","Moved from [Mechanical Power Transmission-181748]",""
"","","","","","Magnetic Brakes","","","181759","Moved from [Mechanical Power Transmission-181748]",""
"","","","","","Magnetic Clutches","","","181766","Moved from [Mechanical Power Transmission-181748]",""
"","","","-","Chains & Sprockets","","","","260281","New Category",""
"","","","","","Chain Tools","","","260282","New Category",""
"","","","","","Idler Sprockets","","","260283","New Category",""
"","","","","","Leaf Chains","","","260284","New Category",""
"","","","","","Roller Chain Links","","","260285","New Category",""
"","","","","","Roller Chains","","","181762","Moved from [Mechanical Power Transmission-181748]",""
"","","","","","Roller Chain Sprockets","","","181763","Moved from [Mechanical Power Transmission-181748]",""
"","","","","Gearboxes & Speed Reducers","","","","181772","",""
"","","","-","Gears & Gear Racks","","","","181773","",""
"","","","","","Bevel Gears","","","181774","",""
"","","","","","Change Gears","","","260286","New Category",""
"","","","","","Gear Racks","","","181775","",""
"","","","","","Helical Gears","","","181776","",""
"","","","","","Miter Gears","","","260287","New Category",""
"","","","","","Rack & Pinion Gears","","","260288","New Category",""
"","","","","","Spur Gears","","","181777","",""
"","","","","","Worms & Worm Gears","","","181778","",""
"","","","","","Other Industrial Gears","","","185121","",""
"","","","","Industrial Vibrators","","","","260289","New Category",""
"","","","+","Mechanical Couplings & U-Joints","","","","181768","",""
"","","","","Output Filters","","","","260290","New Category",""
"","","","","Power Transmission Belts","","","","181756","",""
"","","","","Power Transmission Shafts","","","","181779","",""
"","","","","Pulleys & Sheaves","","","","181757","",""
"","","","","Seals, O-Rings & Gaskets","","","","181780","",""
"","","","","Shaft Adapters & Bore Reducers","","","","181781","",""
"","","","","Shaft Collars & Clamps","","","","181782","",""
"","","","","Solenoid Valves & Coils","","","","260291","New Category",""
"","","","-","Tensioners & Tighteners","","","","260292","New Category",""
"","","","","","Chain & Belt Tensioners","","","181764","Moved from [Mechanical Power Transmission-181748] Renamed from [Chain Tensioners]",""
"","","","","","Drive Tighteners & Idlers","","","260293","New Category",""
"","","","","","Tightener Shafts","","","260294","New Category",""
"","","","","Torque Limiters","","","","260295","New Category",""
"","","","","Other Mechanical Power Transmission","","","","181783","",""
"","","-","PLCs & HMIs","","","","","57516","Renamed from [Control Systems & PLCs]",""
"","","","","PLC Processors","","","","181708","",""
"","","","","Control Systems","","","","260260","New Category",""
"","","","","HMI & Open Interface Panels","","","","181709","",""
"","","","","Microcontrollers","","","","260261","New Category",""
"","","","","PLC Cables","","","","181710","",""
"","","","","PLC Chassis","","","","181711","",""
"","","","","PLC Software","","","","181712","",""
"","","","-","PLC Peripheral Modules","","","","181713","",""
"","","","","","PLC Input & Output Modules","","","181714","",""
"","","","","","Counter Modules","","","181715","",""
"","","","","","Enclosures","","","260262","New Category",""
"","","","","","PLC Data Acquisition Modules","","","181716","",""
"","","","","","PLC Displays & Touch Panels","","","260263","New Category",""
"","","","","","PLC Ethernet & Communication","","","181717","",""
"","","","","","PLC Memory Modules","","","181718","",""
"","","","","","PLC Positioning Modules","","","181719","",""
"","","","","","PLC Power Supplies","","","181720","",""
"","","","","","PLC Redundancy Modules","","","181721","",""
"","","","","","PLC Servo Control Modules","","","181722","",""
